
Имя образа                     PID Имя сессии          № сеанса       Память Состояние       Пользователь                                           Время ЦП Заголовок окна                                                          
========================= ======== ================ =========== ============ =============== ================================================== ============ ========================================================================
csrss.exe                      988 Console                    1     3 360 КБ Running         Н/Д                                                     0:22:00 Н/Д                                                                     
dwm.exe                       1504 Console                    1    82 200 КБ Running         Н/Д                                                     2:06:35 DWM Notification Window                                                 
AsMonStartupTask64.exe        3416 Console                    1     1 696 КБ Running         DESKTOP-62C48T1\777                                     0:00:00 ASUS AsMonStartupTask App                                               
sihost.exe                    3260 Console                    1    19 460 КБ Running         DESKTOP-62C48T1\777                                     0:00:33 Н/Д                                                                     
svchost.exe                   8224 Console                    1    30 028 КБ Running         DESKTOP-62C48T1\777                                     0:01:16 Windows Push Notifications Platform                                     
taskhostw.exe                 8364 Console                    1    10 696 КБ Running         DESKTOP-62C48T1\777                                     0:06:49 Task Host Window                                                        
ctfmon.exe                    8708 Console                    1     9 516 КБ Running         DESKTOP-62C48T1\777                                     0:01:01 Н/Д                                                                     
explorer.exe                  8852 Console                    1   118 408 КБ Running         DESKTOP-62C48T1\777                                     0:14:15 Н/Д                                                                     
igfxEM.exe                    8912 Console                    1    12 440 КБ Running         DESKTOP-62C48T1\777                                     0:00:03 The Event Manager Dashboard                                             
svchost.exe                   6672 Console                    1    14 892 КБ Running         DESKTOP-62C48T1\777                                     0:00:02 Н/Д                                                                     
Wacom_TabletUser.exe          9540 Console                    1     2 692 КБ Running         DESKTOP-62C48T1\777                                     0:00:00 G                                                                       
StartMenuExperienceHost.e     9728 Console                    1    47 460 КБ Running         DESKTOP-62C48T1\777                                     0:00:15 Начальный экран                                                         
Wacom_Tablet.exe              9944 Console                    1    10 508 КБ Running         Н/Д                                                     0:00:11 Н/Д                                                                     
Wacom_TouchUser.exe          10124 Console                    1     4 976 КБ Running         DESKTOP-62C48T1\777                                     0:00:40 WTouch_Message_Window                                                   
SearchUI.exe                  6208 Console                    1    30 744 КБ Running         DESKTOP-62C48T1\777                                     0:00:18 Поиск                                                                   
RuntimeBroker.exe            10332 Console                    1    16 296 КБ Running         DESKTOP-62C48T1\777                                     0:00:32 Н/Д                                                                     
YourPhone.exe                10468 Console                    1     4 088 КБ Running         DESKTOP-62C48T1\777                                     0:00:03 Н/Д                                                                     
SettingSyncHost.exe          10576 Console                    1     4 116 КБ Running         DESKTOP-62C48T1\777                                     0:00:26 Н/Д                                                                     
LockApp.exe                  10784 Console                    1     2 656 КБ Running         DESKTOP-62C48T1\777                                     0:00:00 Экран блокировки Windows по умолчанию                                   
NVIDIA Web Helper.exe        10864 Console                    1     6 796 КБ Running         DESKTOP-62C48T1\777                                     0:00:51 NVIDIA NodeJS Share Window                                              
RuntimeBroker.exe            10972 Console                    1     9 288 КБ Running         DESKTOP-62C48T1\777                                     0:00:05 Н/Д                                                                     
avpui.exe                    11380 Console                    1     3 168 КБ Running         DESKTOP-62C48T1\777                                     0:03:37 Kaspersky Security Cloud                                                
ShellExperienceHost.exe      11972 Console                    1    37 248 КБ Running         DESKTOP-62C48T1\777                                     0:00:10 Центр уведомлений                                                       
RuntimeBroker.exe            12040 Console                    1    18 680 КБ Running         DESKTOP-62C48T1\777                                     0:00:25 Н/Д                                                                     
SystemSettingsBroker.exe     12180 Console                    1    14 876 КБ Running         DESKTOP-62C48T1\777                                     0:00:30 Н/Д                                                                     
SecurityHealthSystray.exe    12716 Console                    1     2 544 КБ Running         DESKTOP-62C48T1\777                                     0:00:00 Н/Д                                                                     
OneDrive.exe                 13092 Console                    1    25 928 КБ Running         DESKTOP-62C48T1\777                                     0:00:21 G                                                                       
RAVBg64.exe                  14912 Console                    1     2 324 КБ Running         DESKTOP-62C48T1\777                                     0:00:00 Realtek HD Audio Background Process for Vista                           
RAVCpl64.exe                 13984 Console                    1     1 916 КБ Running         DESKTOP-62C48T1\777                                     0:00:02 Realtek HD Audio CPL for Vista                                          
ApplicationFrameHost.exe     11324 Console                    1    16 884 КБ Running         DESKTOP-62C48T1\777                                     0:00:04 Параметры                                                               
WinStore.App.exe              9848 Console                    1       824 КБ Running         DESKTOP-62C48T1\777                                     0:00:01 Microsoft Store                                                         
ksdeui.exe                   15276 Console                    1     4 864 КБ Running         DESKTOP-62C48T1\777                                     0:00:05 Kaspersky Secure Connection                                             
Microsoft.Photos.exe         13448 Console                    1       796 КБ Running         DESKTOP-62C48T1\777                                     0:00:16 Н/Д                                                                     
RuntimeBroker.exe            15280 Console                    1    21 712 КБ Running         DESKTOP-62C48T1\777                                     0:00:18 Н/Д                                                                     
taskhostw.exe                 7868 Console                    1    11 404 КБ Running         DESKTOP-62C48T1\777                                     0:00:00 Task Host Window                                                        
